2025-04-20 11:49:20 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:21 - Gesture: stop, Confidence: 0.97
2025-04-20 11:49:21 - Gesture: stop, Confidence: 0.97
2025-04-20 11:49:22 - Gesture: stop, Confidence: 0.97
2025-04-20 11:49:22 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:22 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:22 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:22 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:22 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:22 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:22 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:22 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:22 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:22 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:22 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:24 - Gesture: stop, Confidence: 0.76
2025-04-20 11:49:25 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:25 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:25 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:26 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:26 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:26 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:26 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:26 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:26 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:26 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:26 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:26 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:26 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:26 - Gesture: stop, Confidence: 0.98
2025-04-20 11:49:26 - Gesture: fist, Confidence: 0.99
2025-04-20 11:49:27 - Gesture: fist, Confidence: 1.00
2025-04-20 11:49:28 - Gesture: fist, Confidence: 1.00
2025-04-20 11:49:28 - Gesture: fist, Confidence: 1.00
2025-04-20 11:49:28 - Gesture: fist, Confidence: 1.00
2025-04-20 11:49:28 - Gesture: fist, Confidence: 1.00
2025-04-20 11:49:28 - Gesture: fist, Confidence: 1.00
2025-04-20 11:49:28 - Gesture: fist, Confidence: 1.00
2025-04-20 11:49:28 - Gesture: fist, Confidence: 1.00
2025-04-20 11:49:28 - Gesture: one, Confidence: 0.98
2025-04-20 11:49:29 - Gesture: one, Confidence: 0.98
2025-04-20 11:49:29 - Gesture: one, Confidence: 0.98
2025-04-20 11:49:29 - Gesture: one, Confidence: 0.98
